"PUBID","YSCH-37000","YHEA-1900","YEXP-1500","YEXP-2000","KEY!SEX","KEY!BDATE_M","KEY!BDATE_Y","PC8-092","PC9-050","PC11-008","PC11-014","CV_HH_POV_RATIO","CV_YTH_REL_HH_AGE_12","CV_YTH_REL_HH_AGE_2","CV_YTH_REL_HH_AGE_6","CV_HH_UNDER_18","CV_SAMPLE_TYPE","CV_HGC_BIO_DAD","CV_HGC_BIO_MOM","KEY!RACE_ETHNICITY","TRANS_GPA","CVC_YTH_REL_HH_AGE2_YCHR","CVC_YTH_REL_HH_AGE6_YCHR","CVC_YTH_REL_HH_AGE12_YCHR","CVC_SAT_MATH_SCORE_2007","CVC_SAT_VERBAL_SCORE_2007","CVC_ACT_SCORE_2007","CVC_HIGHEST_DEGREE_EVER"
7862,4,-4,95,30,1,5,1981,0,1,100,0,204,4,4,4,1,0,12,12,1,1,-4,-4,-4,2,1,-3,1
7863,3,-4,100,90,2,10,1980,0,1,90,50,92,1,1,1,4,0,12,12,1,1,-4,-4,-4,-4,-4,-4,2
7864,2,-4,-4,-4,1,8,1982,0,1,-4,-4,92,1,1,1,4,0,12,12,1,-4,-4,-4,-4,-3,-3,3,3
7865,2,-4,90,40,1,11,1980,0,3,80,10,123,4,4,4,4,0,14,14,1,-4,-4,-4,-4,-4,-4,-4,3
7866,2,-4,-4,-4,1,1,1982,0,3,-4,-4,123,4,4,4,4,0,14,14,1,2,-4,-4,-4,-4,-4,-4,2
7867,2,-2,90,25,1,5,1981,-4,-4,-4,-4,-3,-4,-4,-4,4,0,11,12,1,-3,4,4,4,-4,-4,2,2
7868,2,-4,-4,-4,2,11,1984,0,0,-4,-4,140,4,4,4,1,0,9,12,1,2,-3,-3,-3,-4,-4,-4,2
7869,2,-4,100,50,1,9,1981,0,1,100,30,127,4,4,4,2,0,11,11,1,-4,-4,-4,-4,-3,-3,-3,1
7870,2,-4,-4,-4,2,1,1984,0,1,-4,-4,248,4,4,4,3,0,12,12,1,-4,-4,-4,-4,-4,-4,4,6
7871,2,-4,-4,-4,2,6,1982,1,1,-4,-4,166,2,4,2,1,0,12,14,1,1,4,2,2,-4,-4,4,2
7872,2,-4,-4,-4,2,1,1983,1,1,-4,-4,351,4,4,4,3,0,14,13,1,-3,-4,-4,-4,-4,-4,-4,2
7873,2,-4,90,50,2,1,1980,1,1,90,50,253,2,4,4,2,0,11,12,1,2,-4,-4,-4,-4,-4,-4,0
7874,2,-4,-4,-4,2,6,1983,1,1,-4,-4,253,4,4,4,2,0,11,12,1,2,-4,-4,-4,-4,-4,-3,3
7875,2,-4,100,100,1,8,1980,0,1,100,90,-3,1,1,1,1,0,12,12,1,3,-4,-4,-4,-4,-4,4,4
7876,2,-4,-4,-4,1,12,1983,0,3,-4,-4,101,8,8,8,3,0,-4,9,1,-4,8,8,8,-4,-4,-4,0
